quote,label
im feeling really happy,m
im feeling happy,m
i am feeling really happy,m
i am feeling happy,m
im feeling sad,m
i am feeling sad,m
i am feeling really sad,m
im feeling really sad,m
i really want to dance,m
i want to dance,m
i wanna dance,m
i want to hear something happy,m
play me something happy,m
i want to hear something sad,m
i am sad,m
i am happy,m
im sad,m
im happy,m
im bored,m
im angry,m
i am bored,m
i am angry,m
im excited,m
i am really excited,m
i am excited,m
im really excited,m
im stressed,m
im really stressed,m
play something popular,m
play something trendy,m
what is trendy,m
what is trending,m
any happy songs,m
any sad songs,m
play anything,m
i want to hear something acoustic,m
acoustic,m
play some acoustic song,m
acoustic songs,m
play random,m
play some loud music,m
sad songs,m
play acoustic songs,m
loud,m
happy,m
sad,m
miserable,m
im feeling miserable,m
i am feeling miserable,m
happy songs,m
bad songs,m
dancing songs,m
play fast songs,m
give me something happy,m
popular song,m
give me something sad,m
give me something fast,m
play some sad song,m
play me a happy song,m
i need to focus,m
play something to focus,m
play me something for concentration,m
i need to concentrate,m
i need concentration,m
make me happy,m
i want to hear some blues,g
can you play some blues,g
play some random blues song,g
play some reggae,g
i want to listen to some reggae,g
i want to hear some reggae,g
can you play some reggae,g
play some random reggae song,g
play some rock,g
i want to listen to some rock,g
i want to hear some rock,g
can you play some rock,g
play some random rock song,g
play some soul,g
i want to listen to some soul,g
i want to hear some soul,g
can you play some soul,g
play some random soul song,g
play some movie,g
i want to listen to some movie,g
i want to hear some movie,g
can you play some movie,g
play some random movie song,g
play some a capella,g
i want to listen to some a capella,g
i want to hear some a capella,g
can you play some a capella,g
play some random a capella song,g
play some r&b,g
i want to listen to some r&b,g
i want to hear some r&b,g
can you play some r&b,g
play some random r&b song,g
play some soundtrack,g
i want to listen to some soundtrack,g
i want to hear some soundtrack,g
can you play some soundtrack,g
play some random soundtrack song,g
play some indie,g
i want to listen to some indie,g
i want to hear some indie,g
can you play some indie,g
play some random indie song,g
play some classical,g
i want to listen to some classical,g
i want to hear some classical,g
can you play some classical,g
play some random classical song,g
play some jazz,g
i want to listen to some jazz,g
i want to hear some jazz,g
can you play some jazz,g
play some random jazz song,g
play some folk,g
i want to listen to some folk,g
i want to hear some folk,g
can you play some folk,g
play some random folk song,g
play some pop,g
i want to listen to some pop,g
i want to hear some pop,g
can you play some pop,g
play some random pop song,g
play some children’s music,g
i want to listen to some children’s music,g
i want to hear some children’s music,g
can you play some children’s music,g
play some random children’s music song,g
play some anime,g
i want to listen to some anime,g
i want to hear some anime,g
can you play some anime,g
play some random anime song,g
play some electronic,g
i want to listen to some electronic,g
i want to hear some electronic,g
can you play some electronic,g
play some random electronic song,g
play some hip-hop,g
i want to listen to some hip-hop,g
i want to hear some hip-hop,g
can you play some hip-hop,g
play some random hip-hop song,g
play some world,g
i want to listen to some world,g
i want to hear some world,g
can you play some world,g
play some random world song,g
play some comedy,g
i want to listen to some comedy,g
i want to hear some comedy,g
can you play some comedy,g
play some random comedy song,g
play back to you by selena gomez,s
play back to you,s
play selena gomez back to you,s
play crank that (soulja boy) by soulja boy,s
play crank that (soulja boy),g
play soulja boy crank that (soulja boy),s
play heal me by lady gaga,s
play heal me,s
play lady gaga heal me,s
play don’t blame me by taylor swift,s
play don’t blame me,s
play taylor swift don’t blame me,s
play your shirt by chelsea cutler,s
play your shirt,s
play chelsea cutler your shirt,s
play walking on a dream by empire of the sun,s
play walking on a dream,s
play empire of the sun walking on a dream,s
play you're such a by hailee steinfeld,s
play you're such a,s
play hailee steinfeld you're such a,s
play entertainer by zayn,s
play entertainer,s
play zayn entertainer,s
play right now (na na na) by akon,s
play right now (na na na),s
play akon right now (na na na),s
play irreplaceable by beyoncé,s
play irreplaceable,s
play beyoncé irreplaceable,s
play always be my baby by mariah carey,s
play always be my baby,s
play mariah carey always be my baby,s
play what do you mean? by justin bieber,s
play what do you mean?,s
play justin bieber what do you mean?,s
play fetish (feat. gucci mane) by selena gomez,s
play fetish (feat. gucci mane),s
play selena gomez fetish (feat. gucci mane),s
play timber by pitbull,s
play timber,s
play pitbull timber,s
play best mistake by ariana grande,s
play best mistake,s
play ariana grande best mistake,s
play escápate conmigo (feat. ozuna) by wisin,s
play escápate conmigo (feat. ozuna),s
play wisin escápate conmigo (feat. ozuna),s
play you & me by james tw,s
play you & me,s
play james tw you & me,s
play wild thoughts (feat. rihanna & bryson tiller) by dj khaled,s
play wild thoughts (feat. rihanna & bryson tiller),s
play dj khaled wild thoughts (feat. rihanna & bryson tiller),s
play bleeding love by leona lewis,s
play bleeding love,s
play leona lewis bleeding love,s
play feel good (feat. daya) by gryffin,s
play feel good (feat. daya),s
play gryffin feel good (feat. daya),s
play chi chi (feat. chris brown) by trey songz,s
play chi chi (feat. chris brown),s
play trey songz chi chi (feat. chris brown),s
play it will rain by bruno mars,s
play it will rain,s
play bruno mars it will rain,s
play hey brother by avicii,s
play hey brother,s
play avicii hey brother,s
play born this way by lady gaga,s
play born this way,s
play lady gaga born this way,s
play slow motion by trey songz,s
play slow motion,s
play trey songz slow motion,s
play the lazy song by bruno mars,s
play the lazy song,s
play bruno mars the lazy song,s
play 1999 by charli xcx,s
play 1999,s
play charli xcx 1999,s
play my my my! by troye sivan,s
play my my my!,s
play troye sivan my my my!,s
play whatever you like by t.i.,s
play whatever you like,s
play t.i. whatever you like,s
play love is a wild thing by kacey musgraves,s
play love is a wild thing,s
play kacey musgraves love is a wild thing,s
play drunk in love by beyoncé,s
play drunk in love,s
play beyoncé drunk in love,s
play hide away by daya,s
play hide away,s
play daya hide away,s
play jessie's girl by rick springfield,s
play jessie's girl,s
play rick springfield jessie's girl,s
play happy by pharrell williams,s
play happy,s
play pharrell williams happy,s
play gorgeous by taylor swift,s
play gorgeous,s
play taylor swift gorgeous,s
play all these years by camila cabello,s
play all these years,s
play camila cabello all these years,s
play morning glory by kehlani,s
play morning glory,s
play kehlani morning glory,s
play too much to ask by niall horan,s
play too much to ask,s
play niall horan too much to ask,s
play feels great (feat. fetty wap & cvbz) by cheat codes,s
play feels great (feat. fetty wap & cvbz),s
play cheat codes feels great (feat. fetty wap & cvbz),s
play night changes by one direction,s
play night changes,s
play one direction night changes,s
play take me out by franz ferdinand,s
play take me out,s
play franz ferdinand take me out,s
play échame la culpa by luis fonsi,s
play échame la culpa,s
play luis fonsi échame la culpa,s
play so what by p!nk,s
play so what,s
play p!nk so what,s
play oops!...i did it again by britney spears,s
play oops!...i did it again,s
play britney spears oops!...i did it again,s
play a million dreams by p!nk,s
play a million dreams,s
play p!nk a million dreams,s
play the nights by avicii,s
play the nights,s
play avicii the nights,s
play wake me up before you go-go by wham!,s
play wake me up before you go-go,s
play wham! wake me up before you go-go,s
play she looks so perfect by 5 seconds of summer,s
play she looks so perfect,s
play 5 seconds of summer she looks so perfect,s
play bed (feat. ariana grande) by nicki minaj,s
play bed (feat. ariana grande),s
play nicki minaj bed (feat. ariana grande),s
play no place by backstreet boys,s
play no place,s
play backstreet boys no place,s
play pon de replay by rihanna,s
play pon de replay,s
play rihanna pon de replay,s
play stole your car by charlotte lawrence,s
play stole your car,s
play charlotte lawrence stole your car,s
play flames by david guetta,s
play flames,s
play david guetta flames,s
play getting over you by lauv,s
play getting over you,s
play lauv getting over you,s
play trust fund baby by why don't we,s
play trust fund baby,s
play why don't we trust fund baby,s
play waiting for love by avicii,s
play waiting for love,s
play avicii waiting for love,s
play head above water by avril lavigne,s
play head above water,s
play avril lavigne head above water,s
play want to by dua lipa,s
play want to,s
play dua lipa want to,s
play rip (feat. g-eazy & drew love) by olivia o'brien,s
play rip (feat. g-eazy & drew love),s
play olivia o'brien rip (feat. g-eazy & drew love),s
play headband (feat. 2 chainz) by b.o.b,s
play headband (feat. 2 chainz),s
play b.o.b headband (feat. 2 chainz),s
play 7/11 by beyoncé,s
play 7/11,s
play beyoncé 7/11,s
play pussy is god by king princess,s
play pussy is god,s
play king princess pussy is god,s
play don't leave me alone (feat. anne-marie) by david guetta,s
play don't leave me alone (feat. anne-marie),s
play david guetta don't leave me alone (feat. anne-marie),s
play only by nicki minaj,s
play only,s
play nicki minaj only,s
play unwritten by natasha bedingfield,s
play unwritten,s
play natasha bedingfield unwritten,s
play only want you by rita ora,s
play only want you,s
play rita ora only want you,s
play they don't know about us by one direction,s
play they don't know about us,s
play one direction they don't know about us,s
play love language by kehlani,s
play love language,s
play kehlani love language,s
play wonder woman by kacey musgraves,s
play wonder woman,s
play kacey musgraves wonder woman,s
play cheerleader - felix jaehn remix radio edit by omi,s
play cheerleader - felix jaehn remix radio edit,s
play omi cheerleader - felix jaehn remix radio edit,s
play the way (feat. chance the rapper) by kehlani,s
play the way (feat. chance the rapper),s
play kehlani the way (feat. chance the rapper),s
play rock bottom by hailee steinfeld,s
play rock bottom,s
play hailee steinfeld rock bottom,s
play hands to myself by selena gomez,s
play hands to myself,s
play selena gomez hands to myself,s
play bubbly by colbie caillat,s
play bubbly,s
play colbie caillat bubbly,s
play loyal by chris brown,s
play loyal,s
play chris brown loyal,s
play solita (feat. rich the kid) by prettymuch,s
play solita (feat. rich the kid),s
play prettymuch solita (feat. rich the kid),s
play this town by niall horan,s
play this town,s
play niall horan this town,s
play faith - remastered by george michael,s
play faith - remastered,s
play george michael faith - remastered,s
play don't matter by akon,s
play don't matter,s
play akon don't matter,s
play remember (with zohara) by gryffin,s
play remember (with zohara),s
play gryffin remember (with zohara),s
play kream (feat. tyga) by iggy azalea,s
play kream (feat. tyga),s
play iggy azalea kream (feat. tyga),s
play u remind me by usher,s
play u remind me,s
play usher u remind me,s
play nervous by shawn mendes,s
play nervous,s
play shawn mendes nervous,s
play why did you do that? by lady gaga,s
play why did you do that?,s
play lady gaga why did you do that?,s
play breathe me by sia,s
play breathe me,s
play sia breathe me,s
play pump it by the black eyed peas,s
play pump it,s
play the black eyed peas pump it,s
play cold water by major lazer,s
play cold water,s
play major lazer cold water,s
play last friday night (t.g.i.f.) by katy perry,s
play last friday night (t.g.i.f.),s
play katy perry last friday night (t.g.i.f.),s
play chasing fire by lauv,s
play chasing fire,s
play lauv chasing fire,s
play true colors (feat. maya avedis) by xo cupid,s
play true colors (feat. maya avedis),s
play xo cupid true colors (feat. maya avedis),s
play amnesia by 5 seconds of summer,s
play amnesia,s
play 5 seconds of summer amnesia,s
play sweet but psycho - morgan page remix by ava max,s
play sweet but psycho - morgan page remix,s
play ava max sweet but psycho - morgan page remix,s
play runaway (u & i) by galantis,s
play runaway (u & i),s
play galantis runaway (u & i),s
play bad bitch (feat. ty dolla $ign) by bebe rexha,s
play bad bitch (feat. ty dolla $ign),s
play bebe rexha bad bitch (feat. ty dolla $ign),s
play airplanes (feat. hayley williams) by b.o.b,s
play airplanes (feat. hayley williams),s
play b.o.b airplanes (feat. hayley williams),s
play tonight tonight by hot chelle rae,s
play tonight tonight,s
play hot chelle rae tonight tonight,s
play make me (cry) by noah cyrus,s
play make me (cry),s
play noah cyrus make me (cry),s
play we found love by rihanna,s
play we found love,s
play rihanna we found love,s
play wait a minute! by willow,s
play wait a minute!,s
play willow wait a minute!,s
play chantaje (feat. maluma) by shakira,s
play chantaje (feat. maluma),s
play shakira chantaje (feat. maluma),s
play seeing blind by niall horan,s
play seeing blind,s
play niall horan seeing blind,s
play outrunning karma by alec benjamin,s
play outrunning karma,s
play alec benjamin outrunning karma,s
play glad you came by the wanted,s
play glad you came,s
play the wanted glad you came,s
play lean on by major lazer,s
play lean on,s
play major lazer lean on,s
play don't stop the music by rihanna,s
play don't stop the music,s
play rihanna don't stop the music,s
play lonely together (feat. rita ora) by avicii,s
play lonely together (feat. rita ora),s
play avicii lonely together (feat. rita ora),s
play truthfully by dnce,s
play truthfully,s
play dnce truthfully,s
play fool for you by zayn,s
play fool for you,s
play zayn fool for you,s
play clandestino by shakira,s
play clandestino,s
play shakira clandestino,s
play wrecking ball by miley cyrus,s
play wrecking ball,s
play miley cyrus wrecking ball,s
play foolish by ashanti,s
play foolish,s
play ashanti foolish,s
play dumb blonde (feat. nicki minaj) by avril lavigne,s
play dumb blonde (feat. nicki minaj),s
play avril lavigne dumb blonde (feat. nicki minaj),s
play just for a moment (feat. iselin) by gryffin,s
play just for a moment (feat. iselin),s
play gryffin just for a moment (feat. iselin),s
play teenager in love by madison beer,s
play teenager in love,s
play madison beer teenager in love,s
play me too by meghan trainor,s
play me too,s
play meghan trainor me too,s
play safe and sound by capital cities,s
play safe and sound,s
play capital cities safe and sound,s
play year 3000 by jonas brothers,s
play year 3000,s
play jonas brothers year 3000,s
play ayo by chris brown,s
play ayo,s
play chris brown ayo,s
play tequilawine by olivia o'brien,s
play tequilawine,s
play olivia o'brien tequilawine,s
play youth by troye sivan,s
play youth,s
play troye sivan youth,s
play heart attack by demi lovato,s
play heart attack,s
play demi lovato heart attack,s
play paparazzi by lady gaga,s
play paparazzi,s
play lady gaga paparazzi,s
play colors by halsey,s
play colors,s
play halsey colors,s
play chunky by bruno mars,s
play chunky,s
play bruno mars chunky,s
play look at me now by chris brown,s
play look at me now,s
play chris brown look at me now,s
play kiwi by harry styles,s
play kiwi,s
play harry styles kiwi,s
play summer by calvin harris,s
play summer,s
play calvin harris summer,s
play death of a hero by alec benjamin,s
play death of a hero,s
play alec benjamin death of a hero,s
play crying in the club by camila cabello,s
play crying in the club,s
play camila cabello crying in the club,s
play toxic by britney spears,s
play toxic,s
play britney spears toxic,s
play borderline (feat. missy elliott) by ariana grande,s
play borderline (feat. missy elliott),s
play ariana grande borderline (feat. missy elliott),s
play don't go breaking my heart by backstreet boys,s
play don't go breaking my heart,s
play backstreet boys don't go breaking my heart,s
play rockabye (feat. sean paul & anne-marie) by clean bandit,s
play rockabye (feat. sean paul & anne-marie),s
play clean bandit rockabye (feat. sean paul & anne-marie),s
play our song by taylor swift,s
play our song,s
play taylor swift our song,s
play promiscuous by nelly furtado,s
play promiscuous,s
play nelly furtado promiscuous,s
play wildest dreams by taylor swift,s
play wildest dreams,s
play taylor swift wildest dreams,s
play perfect to me - back n fourth remix by anne-marie,s
play perfect to me - back n fourth remix,s
play anne-marie perfect to me - back n fourth remix,s
play rewrite the stars - wideboys hands in the air remix by anne-marie,s
play rewrite the stars - wideboys hands in the air remix,s
play anne-marie rewrite the stars - wideboys hands in the air remix,s
play friends by anne-marie,s
play friends,s
play anne-marie friends,s
play replay by zendaya,s
play replay,s
play zendaya replay,s
play if i were a boy by beyoncé,s
play if i were a boy,s
play beyoncé if i were a boy,s
play despacito by luis fonsi,s
play despacito,s
play luis fonsi despacito,s
play the heart wants what it wants by selena gomez,s
play the heart wants what it wants,s
play selena gomez the heart wants what it wants,s
play baby by justin bieber,s
play baby,s
play justin bieber baby,s